year,month,region,district,site_code,product_code,stock_initial,stock_received,stock_distributed,stock_adjustment,stock_end,average_monthly_consumption,stock_stockout_days,stock_ordered
2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,354,0,10,0,344,10,0,0.0
2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,0,0,60,344,284,35,0,0.0
2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,284,0,42,0,242,37,0,0.0
2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,242,0,51,0,191,51,0,0.0
2016,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,232,0,48,0,184,47,0,0.0
2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,184,0,37,0,147,45,0,0.0
2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,147,0,35,0,112,40,0,0.0
2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,112,0,26,0,86,33,0,0.0
2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,86,0,26,0,60,29,0,
2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,60,126,13,-26,147,22,0,0.0
2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,147,0,21,0,126,20,0,0.0
2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,126,0,15,0,111,16,0,0.0
2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,111,0,24,0,87,20,0,0.0
2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,87,0,8,0,79,16,0,0.0
2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,79,0,16,0,63,16,0,0.0
2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,63,0,16,0,47,13,0,100.0
2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,47,100,24,0,123,19,0,0.0
2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,123,0,10,0,113,17,0,0.0
2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,113,0,13,0,100,16,0,0.0
2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,100,0,23,0,77,15,0,0.0
2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,77,0,10,0,67,15,0,0.0
2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,67,0,15,0,52,16,0,100.0
2017,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,52,100,5,0,147,10,0,0.0
2018,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,147,0,13,0,134,11,0,0.0
2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,134,0,5,0,129,8,0,0.0
2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,129,0,20,0,109,13,0,0.0
2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,109,0,2,0,107,9,0,0.0
2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,107,0,8,0,99,10,0,100.0
2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,99,100,10,0,189,7,0,0.0
2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,189,0,0,0,189,6,0,0.0
2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,189,0,5,0,184,5,0,0.0
2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,184,0,10,0,174,5,0,0.0
2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,174,0,134,0,40,50,0,0.0
2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,40,0,0,68,108,48,0,100.0
2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,108,0,33,0,75,56,0,100.0
2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,75,0,21,-54,0,18,0,100.0
2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,0,0,0,0,0,18,0,100.0
2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,0,100,0,0,100,7,0,0.0
2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,100,0,2,0,98,1,0,0.0
2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,98,0,31,0,67,11,0,0.0
2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,67,0,11,0,56,15,0,0.0
